"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Account","Delete user","Deleting user and validating with UI as well with API","0","0","1","0","0"
"Account","Generate token for unauthorized user","Before generating token, check if the given user is authorized","0","0","1","0","0"
"Account","Post User","Negative Cases with dataprovider","0","0","3","0","0"
"Account","Generate Token","Negative Cases","0","0","3","0","0"
"Books","Search (website)","Find all books by publisher from the Site (UI) and API and compare them.","0","0","1","0","0"
"Books","Add book","Log in and validate add book","0","0","1","0","0"
"Books","Get all books","Validate that the data on the website and API is the same","0","0","1","0","0"
"Account","Generate token for unauthorized user","After generating token, Checks if the given user is authorized","0","0","1","0","0"
"Books","Test cases to compare UI and API results.","Get books last item from the Site (UI) and API and compare them.","0","0","1","0","0"
"Books","Add books","Add books for a new user, delete one and then delete all.","0","0","1","0","0"
"Books","Delete books","Add books for a new user, delete one and then delete all.","0","0","1","0","0"
"Account","Generate token for unauthorized user","Adds an user and gets the list of books","0","0","1","0","0"
"Account","Generate token for unauthorized user","Generates the token for given user","0","0","1","0","0"
"Books","Get a Single Book","Get a book from the site, get the same book by ISBN from the API and compare the two","0","0","1","0","0"
